
# ;[];[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];
# ;seb dynamic bond fund c;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;
2023-04-05;-0,063;-0,108;-0,041;;-0,111;-0,060;-0,035;-0,016;-0,053;-0,102;-0,081;0,003;-0,082;-0,081;-0,208;-0,006;-0,017;
2023-04-06;;-0,105;-0,039;;-0,108;-0,060;;-0,010;-0,053;-0,099;-0,080;;-0,081;;-0,204;-0,001;-0,015;
2023-04-11;-0,064;-0,101;-0,035;;-0,105;-0,060;-0,037;-0,007;-0,044;-0,094;-0,078;0,001;-0,075;-0,074;-0,192;-0,001;-0,011;
2023-04-12;-0,064;-0,103;-0,038;;-0,107;-0,059;-0,037;-0,010;-0,046;-0,091;-0,080;0,000;-0,071;-0,071;-0,190;-0,005;-0,014;
2023-04-13;-0,064;-0,106;-0,038;;-0,109;-0,057;-0,037;-0,010;-0,050;-0,090;-0,079;0,001;-0,072;-0,071;-0,186;-0,006;-0,016;
2023-04-14;-0,063;-0,100;-0,030;;-0,102;-0,058;-0,038;-0,007;-0,043;-0,083;-0,078;-0,003;-0,064;-0,064;-0,186;-0,007;-0,011;
2023-04-17;-0,063;-0,100;-0,031;;-0,102;-0,058;-0,038;-0,008;-0,044;-0,081;-0,077;-0,005;-0,065;-0,065;-0,184;-0,010;-0,009;
2023-04-18;-0,063;-0,100;-0,033;;-0,102;-0,058;-0,038;-0,011;-0,044;-0,081;-0,077;-0,005;-0,064;-0,063;-0,181;-0,011;-0,011;
2023-04-19;-0,064;-0,102;-0,033;;-0,104;-0,058;-0,038;-0,012;-0,047;-0,084;-0,078;-0,007;-0,066;-0,065;-0,180;-0,011;-0,009;
2023-04-20;-0,063;-0,103;-0,037;;-0,106;-0,059;-0,037;-0,014;-0,045;-0,086;-0,079;-0,006;-0,068;-0,068;-0,178;-0,010;-0,009;
